"sale_date","isbn","COUNT"
"2/1/2193","989-28-3705-007-2",5
"2/1/2193","989-28-79-11297-4",3
"2/1/2193","989-28-79-18127-7",1
"2/1/2193","989-28-79-82197-5",2
"2/1/2193","989-28-79-05638-4",1
"2/1/2193","989-28-654-5018-9",1
"2/1/2193","989-28-79-69807-2",6
"2/1/2193","989-28-79-05670-4",4
"2/1/2193","989-28-79-82749-6",2
"2/1/2193","989-28-3705-987-7",5
"2/1/2193","989-28-79-82125-8",2
"2/1/2193","989-28-229-6632-6",1
"2/1/2193","989-28-229-1404-4",2
"2/1/2193","989-28-79-13801-1",5
"2/1/2193","989-28-3705-966-2",2
"2/1/2193","989-28-79-23023-4",4
"2/1/2193","989-28-79-36485-4",1
"2/1/2193","989-28-79-91028-0",1
"2/1/2193","989-28-3705-492-6",1
"2/1/2193","989-28-3705-222-9",3
"2/1/2193","989-28-79-68089-3",1
"2/1/2193","989-28-229-5891-8",1
"2/1/2193","989-28-3705-138-3",1
"2/1/2193","989-28-79-07610-8",1
"2/1/2193","989-28-79-21991-8",1
"2/1/2193","989-28-79-30536-9",1
"3/1/2193","989-28-79-68089-3",3
"3/1/2193","989-28-79-13801-1",4
"3/1/2193","989-28-229-6632-6",1
"3/1/2193","989-28-3705-492-6",3
"3/1/2193","989-28-3705-966-2",1
"3/1/2193","989-28-3705-649-4",1
"3/1/2193","989-28-3705-987-7",1
"3/1/2193","989-28-3705-007-2",2
"3/1/2193","989-28-79-45675-7",2
"3/1/2193","989-28-79-16826-1",1
"3/1/2193","989-28-79-82197-5",5
"3/1/2193","989-28-79-07610-8",1
"3/1/2193","989-28-79-05638-4",1
"3/1/2193","989-28-79-27078-0",1
"3/1/2193","989-28-79-30536-9",1
"3/1/2193","989-28-79-13871-4",4
"3/1/2193","989-28-79-69807-2",2
"3/1/2193","989-28-229-3157-7",1
"3/1/2193","989-28-229-7592-2",1
"3/1/2193","989-28-229-1404-4",3
"3/1/2193","989-28-79-71565-6",2
"3/1/2193","989-28-79-74374-1",5
"3/1/2193","989-28-79-91028-0",2
"3/1/2193","989-28-79-23023-4",4
"3/1/2193","989-28-79-26824-4",1
"3/1/2193","989-28-79-55824-6",1
"3/1/2193","989-28-79-40897-8",2
"3/1/2193","989-28-3705-222-9",3
"4/1/2193","989-28-79-21991-8",1
"4/1/2193","989-28-79-82197-5",3
"4/1/2193","989-28-79-86624-2",1
"4/1/2193","989-28-79-45675-7",2
"4/1/2193","989-28-79-22871-2",1
"4/1/2193","989-28-79-01991-4",1
"4/1/2193","989-28-79-82749-6",4
"4/1/2193","989-28-79-69807-2",4
"4/1/2193","989-28-79-13871-4",4
"4/1/2193","989-28-79-05670-4",2
"4/1/2193","989-28-79-22562-9",2
"4/1/2193","989-28-229-5891-8",1
"4/1/2193","989-28-229-7592-2",3
"4/1/2193","989-28-229-6632-6",1
"4/1/2193","989-28-229-0197-6",1
"4/1/2193","989-28-229-9769-6",3
"4/1/2193","989-28-229-3157-7",1
"4/1/2193","989-28-79-26824-4",5
"4/1/2193","989-28-79-91028-0",2
"4/1/2193","989-28-79-13801-1",7
"4/1/2193","989-28-79-23023-4",4
